"Country/Area","Year","Unit","GDP, Per Capita GDP - US Dollars"
"Republic of Moldova","2021","US$","4468.4212899075"
"Republic of North Macedonia","2019","US$","5962.765932740708"
"Republic of North Macedonia","2020","US$","5738.548212876032"
"Republic of North Macedonia","2021","US$","6599.619340407647"
"Romania","2019","US$","12856.744768073699"
"Romania","2020","US$","12928.816109315014"
"Romania","2021","US$","14697.754288910164"
"Russian Federation","2019","US$","11617.18446037778"
"Russian Federation","2020","US$","10227.91646993234"
"Russian Federation","2021","US$","12258.772019778926"
"Rwanda","2019","US$","806.8827451736838"
"Rwanda","2020","US$","774.7159119826688"
"Rwanda","2021","US$","822.3157487276883"
"Saint Kitts and Nevis","2019","US$","23219.409046873836"
"Saint Kitts and Nevis","2020","US$","18566.017846064864"
"Saint Kitts and Nevis","2021","US$","18082.68798984255"
"Saint Lucia","2019","US$","11864.4697008819"
"Saint Lucia","2020","US$","9020.314299358246"
"Saint Lucia","2021","US$","9824.062102302467"
"Saint Vincent and the Grenadines","2019","US$","8674.356183029126"
"Saint Vincent and the Grenadines","2020","US$","8335.244794454213"
"Saint Vincent and the Grenadines","2021","US$","8440.025094392402"
"Samoa","2019","US$","4306.427770327834"
"Samoa","2020","US$","3857.7799345305166"
"Samoa","2021","US$","3918.6581040844385"
"San Marino","2019","US$","47288.655281919375"
"San Marino","2020","US$","45423.40673014699"
"San Marino","2021","US$","50425.10214352892"
"Sao Tome and Principe","2019","US$","2006.6875243909576"
"Sao Tome and Principe","2020","US$","2179.1986303165895"
"Sao Tome and Principe","2021","US$","2485.8175523774357"
"Saudi Arabia","2019","US$","22430.238229399456"
"Saudi Arabia","2020","US$","19539.558402734976"
"Saudi Arabia","2021","US$","23185.870791780246"
"Senegal","2019","US$","1462.6783520711047"
"Senegal","2020","US$","1490.5252468579101"
"Senegal","2021","US$","1636.8798252104932"
"Serbia","2019","US$","6960.390902745649"
"Serbia","2020","US$","7248.570829885566"
"Serbia","2021","US$","8643.29239749049"
"Seychelles","2019","US$","15761.67116354003"
"Seychelles","2020","US$","11214.739773251624"
"Seychelles","2021","US$","12084.627638868453"
"Sierra Leone","2019","US$","506.60689188964864"
"Sierra Leone","2020","US$","493.4322524318469"
"Sierra Leone","2021","US$","504.6212380524163"
"Singapore","2019","US$","64005.8433843438"
"Singapore","2020","US$","58425.23858731656"
"Singapore","2021","US$","66821.71611365848"
"Sint Maarten (Dutch part)","2019","US$","32010.471285852065"
"Sint Maarten (Dutch part)","2020","US$","25943.375384645726"
"Sint Maarten (Dutch part)","2021","US$","26198.692766351265"
"Slovakia","2019","US$","19384.27359613757"
"Slovakia","2020","US$","19553.429754378256"
"Slovakia","2021","US$","21390.452769612075"
"Slovenia","2019","US$","25714.214003545738"
"Slovenia","2020","US$","25361.617027477365"
"Slovenia","2021","US$","29134.800031549923"
"Solomon Islands","2019","US$","2398.766364882201"
"Solomon Islands","2020","US$","2222.458689939725"
"Solomon Islands","2021","US$","2305.981147127287"
"Somalia","2019","US$","405.77896263813375"
"Somalia","2020","US$","416.23238804212957"
"Somalia","2021","US$","446.9977572930787"
"South Africa","2019","US$","6688.77474646309"
"South Africa","2020","US$","5741.641248738424"
"South Africa","2021","US$","7055.055176227794"
"South America","2019","US$","8333.490817687478"
"South America","2020","US$","6724.585922973963"
"South America","2021","US$","7651.556254549685"
"South Sudan","2019","US$","412.1332294950146"
"South Sudan","2020","US$","397.4575024347128"
"South Sudan","2021","US$","400.44290293550324"
"South-Eastern Asia","2019","US$","4896.488199093258"
"South-Eastern Asia","2020","US$","4605.149790571155"
"South-Eastern Asia","2021","US$","4945.765561555356"
"Southern Africa","2019","US$","6393.330566298774"
"Southern Africa","2020","US$","5488.166161377859"
"Southern Africa","2021","US$","6706.996632221804"
"Southern Asia","2019","US$","2133.8202847645593"
"Southern Asia","2020","US$","2042.6326705605627"
"Southern Asia","2021","US$","2361.459954050685"
"Southern Europe","2019","US$","26868.078621436645"
"Southern Europe","2020","US$","25154.863446451436"
"Southern Europe","2021","US$","28211.30594044663"
"Spain","2019","US$","29583.693322770436"
"Spain","2020","US$","26960.727325999207"
